,City,Country,Date,Humidity,Cloudiness,Lat,Lng,Max Temp,Wind Speed
498,cumaribo,co,,,,,,,
512,wangaratta,au,1561573785,83.0,0.0,-36.36,146.32,39.99,3.36
513,odda,no,1561573785,78.0,90.0,60.07,6.55,54.0,8.99
515,tacuarembo,uy,1561573786,47.0,0.0,-31.73,-55.98,52.29,4.07
518,amroha,in,1561573786,19.0,0.0,28.91,78.47,93.33,5.53
521,kamaishi,jp,1561573786,78.0,97.0,39.28,141.86,55.89,4.07
523,rosetta,eg,1561573787,74.0,0.0,31.4,30.42,80.6,8.05
526,kieta,pg,1561573787,78.0,94.0,-6.22,155.63,80.01,6.33
527,haines junction,ca,1561573787,60.0,100.0,60.75,-137.51,59.13,1.5
530,manggar,id,1561573787,94.0,88.0,-2.88,108.27,76.41,3.56
531,soe,id,1561573787,90.0,5.0,-9.86,124.28,59.67,3.36
535,santa fe,cu,1561573787,59.0,75.0,23.13,-82.26,91.4,12.75
536,sabha,ly,1561573788,8.0,0.0,27.03,14.43,100.53,16.15
540,quatre cocos,mu,1561573788,94.0,75.0,-20.21,57.76,73.99,16.11
541,sur,om,1561573788,67.0,89.0,22.57,59.53,83.79,16.53
543,tumannyy,ru,,,,,,,
547,vasterhaninge,se,1561573788,88.0,40.0,59.12,18.1,64.99,1.12
550,berlevag,no,1561573788,81.0,75.0,70.86,29.09,48.2,14.99
551,locri,it,1561573789,66.0,40.0,38.24,16.26,84.2,8.05
552,cabo san lucas,mx,1561573617,29.0,5.0,22.89,-109.91,93.0,10.29
553,umba,ru,1561573789,60.0,100.0,66.69,34.34,56.79,6.46
556,lagoa,pt,1561573789,82.0,20.0,37.14,-8.45,75.0,12.75
558,santa rosa,bo,1561573789,12.0,0.0,-20.7,-64.83,60.39,7.92
559,marcona,pe,,,,,,,
560,malaga,es,1561573506,61.0,0.0,36.72,-4.42,78.8,12.75
561,leningradskiy,ru,1561573790,88.0,47.0,69.38,178.42,35.73,11.36
562,griffith,au,1561573790,87.0,0.0,-34.29,146.06,46.4,13.87
563,port-cartier,ca,1561573790,87.0,90.0,50.03,-66.88,55.4,16.11
564,pokhara,np,1561573790,86.0,74.0,28.21,83.99,56.79,2.08
